Operator,Change Type,Airflow(1.0),Airflow(2.0),Impact,Replace,Manual Intervention,
BigqueryCheckOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
BigqueryCheckOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigQueryValueCheckOperator,Changes in import,from airflow.contrib.operators.bigquery_check_operator import BigQueryValueCheckOperator,from airflow.providers.google.cloud.operators.bigquery import BigQueryValueCheckOperator,Import Statement Changed,TRUE,FALSE,
BigQueryValueCheckOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
BigQueryValueCheckOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigQueryToCloudStorageOperator,Changes in import,from airflow.contrib.operators.bigquery_to_gcs import BigQueryToCloudStorageOperator,from airflow.providers.google.cloud.transfers.bigquery_to_gcs import BigQueryToGCSOperator,Import Statement Changed,TRUE,FALSE,
BigQueryToCloudStorageOperator,Changes in Operator,BigQueryToCloudStorageOperator,BigQueryToGCSOperator,Operator Name Change,TRUE,FALSE,
BigQueryToCloudStorageOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
GoogleCloudStorageToGoogleCloudStorageOperator,Changes in import,from airflow.contrib.operators.gcs_to_gcs import GoogleCloudStorageToGoogleCloudStorageOperator,from airflow.providers.google.cloud.transfers.gcs_to_gcs import GCSToGCSOperator,Import Statement Changed,TRUE,FALSE,
GoogleCloudStorageToGoogleCloudStorageOperator,Changes in Operator,GoogleCloudStorageToGoogleCloudStorageOperator,GCSToGCSOperator,Operator Name Change,TRUE,FALSE,
GoogleCloudStorageToGoogleCloudStorageOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
GCSObjectsWithPrefixExistenceSensor,Changes in import,from airflow.contrib.sensors.gcs_sensor import GoogleCloudStoragePrefixSensor,from airflow.providers.google.cloud.sensors.gcs import GCSObjectsWithPrefixExistenceSensor,Import Statement Changed,TRUE,FALSE,
GCSObjectsWithPrefixExistenceSensor,Changes in Sensor,GoogleCloudStoragePrefixSensor,GCSObjectsWithPrefixExistenceSensor,Operator Name Change,TRUE,FALSE,
GCSObjectsWithPrefixExistenceSensor,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
