product,service_type,service_category,cloud_provider
Cognosys Inc. Secured MySQL with IIS on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Secured SQL Server 2017 Web on Windows Server 2016,Cognosys,License,Google
Cognosys Inc. Secured Acquia Drupal 7 on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Wireshark on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Secured OrangeHRM on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. SQL Server Enterprise 2017 on Linux - Ubuntu 16.04,Cognosys,License,Google
Cognosys Inc. MANTIS on Ubuntu 14.04 LTS,Cognosys,License,Google
Cognosys Inc. Visual Studio 2015 Enterprise on Hardened Windows Server 2016,Cognosys,License,Google
Cognosys Inc. Secured Sharepoint 2016 Enterprise on Windows 2012 R2,Cognosys,License,Google
"Cognosys Inc. Node.js, .Net & PHP on Hardened Windows Server 2016",Cognosys,License,Google
Cognosys Inc. Secured Joomla on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Trac on Ubuntu 16.04 LTS,Cognosys,License,Google
Cognosys Inc. Visual Studio Enterprise 2019 on Windows Server 2016,Cognosys,License,Google
Cognosys Inc. Secured Orchard Collaboration on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Secured SQL Server 2014 Standard on Windows Server 2012 R2,Cognosys,License,Google
Cognosys Inc. Moodle on CentOS 7,Cognosys,License,Google
Cognosys Inc. Secured Inkscape on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Concrete5 on Ubuntu 16.04 LTS,Cognosys,License,Google
Cognosys Inc. Coppermine on Ubuntu 16.04 LTS,Cognosys,License,Google
Cognosys Inc. Secured BeYourMarket on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Visual Studio 2015 Community on Hardened Windows Server 2012 R2,Cognosys,License,Google
Cognosys Inc. IIS Microsoft on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Redis on Red Hat Enterprise Linux 7,Cognosys,License,Google
Cognosys Inc. WildFly on Ubuntu 16.04 LTS,Cognosys,License,Google
Cognosys Inc. Secured Mantis on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Axcrypt on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Haproxy on Red Hat Enterprise Linux 7,Cognosys,License,Google
Cognosys Inc. Node.js on Red Hat Enterprise Linux 7,Cognosys,License,Google
Cognosys Inc. Secured phpBB on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc.  Secured Postgresql on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Limesurvey on Ubuntu 16.04 LTS,Cognosys,License,Google
Cognosys Inc. Secured Opencart on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Secured SQL Server 2012 Standard on Windows Server 2012 R2,Cognosys,License,Google
Cognosys Inc. PWCT on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Secured SQL Server 2012 Enterprise on Windows Server 2012 R2,Cognosys,License,Google
Cognosys Inc. SQL Server Standard 2017 on Linux - Redhat 7.3,Cognosys,License,Google
Cognosys Inc. SQL Server Web 2017 on Linux - SUSE 12 SP3,Cognosys,License,Google
Cognosys Inc. Secured MediaWiki on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Piwigo Gallery on Ubuntu 16.04 LTS,Cognosys,License,Google
Cognosys Inc. SQL Server 2017 Enterprise on Windows Server 2019,Cognosys,License,Google
Cognosys Inc. Joomla on Ubuntu 14.04 LTS,Cognosys,License,Google
Cognosys Inc. Jenkins on Red Hat Enterprise Linux 7,Cognosys,License,Google
Cognosys Inc. Secured Piwigo Gallery on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Hardened Red Hat Enterprise Linux 7,Cognosys,License,Google
Cognosys Inc. LAMP on CentOS 7,Cognosys,License,Google
Cognosys Inc. MySQL 5.7 on Ubuntu 14.04 LTS,Cognosys,License,Google
Cognosys Inc. Visual Studio 2017 Enterprise on Hardened Windows Server 2016,Cognosys,License,Google
Cognosys Inc. Visual Studio Enterprise 2015 on Windows Server 2012 R2,Cognosys,License,Google
Cognosys Inc. SQL Server Enterprise 2017 on Linux - Redhat 7.3,Cognosys,License,Google
Cognosys Inc. SQL Server Standard 2017 on Linux - SUSE 12 SP3,Cognosys,License,Google
Cognosys Inc. MySQL 5.6 on Ubuntu 14.04 LTS,Cognosys,License,Google
Cognosys Inc. Silverstripe on Ubuntu 16.04 LTS,Cognosys,License,Google
Cognosys Inc. MySQL 5.7 on Red Hat Enterprise Linux 7,Cognosys,License,Google
Cognosys Inc. Visual Studio 2015 Community on Hardened Windows Server 2016,Cognosys,License,Google
Cognosys Inc. Secured Sharepoint 2013 Enterprise on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. SQL Server 2014 Express on Hardened Windows Server 2012 R2,Cognosys,License,Google
Cognosys Inc. LAMP on Ubuntu 14.04 LTS,Cognosys,License,Google
Cognosys Inc. MediaWiki on CentOS 7,Cognosys,License,Google
Cognosys Inc. Secured Tiki Wiki CMS on Windows 2012 R2,Cognosys,License,Google
Cognosys Inc. Django on Ubuntu 14.04 LTS,Cognosys,License,Google
Cognosys Inc. Secured SQL Server 2016 Standard on Windows Server 2016,Cognosys,License,Google
DataStax Enterprise,DataStax,License,Google
DataStax Apache Cassandra for GCP supported by DataStax,DataStax,License,Google
DataStax Distribution of Apache Cassandra 8x5 Support,DataStax,License,Google
DataStax Distribution of Apache Cassandra 24x7 Support,DataStax,License,Google
Jelastic PaaS Light Edition Jelastic PaaS Lite Edition,Jelastic,License,Google
Joget Inc Joget DX Enterprise Edition - VM,JogetInc,License,Google
MapTiler Cluster,MapTiler,License,Google
"NGINX, Inc NGINX Plus Enterprise - RHEL7",NGINXInc,License,Google
"NGINX, Inc NGINX Plus with NGINX App Protect - Premium (Ubuntu 18.04)",NGINXInc,License,Google
"NGINX, Inc NGINX Plus with NGINX App Protect - Premium (CentOS 7)",NGINXInc,License,Google
"NGINX, Inc NGINX Plus with NGINX App Protect - Premium (Debian 9)",NGINXInc,License,Google
"NGINX, Inc NGINX Plus - CentOS 7",NGINXInc,License,Google
"NGINX, Inc NGINX Plus with NGINX App Protect - Premium (RHEL 7)",NGINXInc,License,Google
"NGINX, Inc NGINX Plus with NGINX App Protect - Premium (Ubuntu 20.04)",NGINXInc,License,Google
"NGINX, Inc NGINX Plus - RHEL 7",NGINXInc,License,Google
"NGINX, Inc NGINX Plus Enterprise - RHEL 8",NGINXInc,License,Google
"NGINX, Inc nginx-plus--rhel8-standard",NGINXInc,License,Google
"NGINX, Inc NGINX Plus - RHEL7 Standard",NGINXInc,License,Google
"NGINX, Inc NGINX Plus Enterprise - CentOS 7",NGINXInc,License,Google
"NGINX, Inc NGINX Plus Developer - Ubuntu 18.04",NGINXInc,License,Google
"NGINX, Inc NGINX Plus Enterprise - Ubuntu 18.04",NGINXInc,License,Google
"NGINX, Inc NGINX Plus with NGINX App Protect - Premium (Debian 10)",NGINXInc,License,Google
"NGINX, Inc NGINX Plus Developer - CentOS 7",NGINXInc,License,Google
"NGINX, Inc NGINX Plus Standard - Ubuntu 18.04",NGINXInc,License,Google
"NGINX, Inc NGINX Plus - CentOS 7 Standard",NGINXInc,License,Google
"NGINX, Inc NGINX Plus - Ubuntu 18.04",NGINXInc,License,Google
Nventify Imagizer,Nventify,License,Google
CloudyCluster by Omnibond CloudyCluster,Omnibond,License,Google
Ontology ont_dev_platform,Ontology,License,Google
ScaiData ScaiPlatform - Free Real-Time Business Intelligence & Analytics,ScaiData,License,Google
ScaleArc for MS SQL,ScaleArc,License,Google
ScaleArc for MySQL,ScaleArc,License,Google
Snapt Inc Snapt Aria v2,SnaptInc,License,Google
"Sureline Systems, Inc SUREedge Migrator",Sureline,License,Google
sureline-public sureedge-windows-byol,Sureline,License,Google
"Sureline Systems, Inc DaTA Rehydrator",Sureline,License,Google
"Sureline Systems, Inc SUREedge DR",Sureline,License,Google
Tempered Airwall Conductor v3.0.0,Tempered,License,Google
Tempered Airwall Gateway v3.0.0,Tempered,License,Google
Teradici Cloud Access Software-Graphics for CentOS 7,Teradici,License,Google
Teradici Cloud Access Software-Graphics for Windows Server 2019,Teradici,License,Google
Teradici Cloud Access Software-Standard for Windows Server 2019,Teradici,License,Google
Zoomdata,Zoomdata,License,Google
Aerospike Enterprise Edition with ACMv5,Aerospike,License,Google
Aerospike Enterprise Edition,Aerospike,License,Google
Atomicorp OSSEC Open-Source,Atomicorp,License,Google
Atomicorp Enterprise Ossec,Atomicorp,License,Google
Atomicorp AtomicWP Cloud Workload Security for Docker,Atomicorp,License,Google
Atomicorp AtomicWP Cloud Workload Security,Atomicorp,License,Google
Synopsys Black Duck by Synopsys,BlackDuck,License,Google
BlockApps STRATO for Business Networks - Single Node,BlockApps,License,Google
BlockApps STRATO,BlockApps,License,Google
CloudBees Jenkins Distribution,CloudBees,License,Google
CloudBees Accelerator,CloudBees,License,Google
CloudBolt,CloudBolt,License,Google
CommvaultVMDeploymentSolution,Commvault,License,Google
Couchbase Sync Gateway,Couchbase,License,Google
Couchbase Sync Gateway (BYOL and Test Drive),Couchbase,License,Google
Cypherium Full Node,Cypherium,License,Google
Denovolab Class4v5 softswitch,Denovolab,License,Google
Denovolab class4-v6,Denovolab,License,Google
Etrans Lab Magento,EtransLab,License,Google
Etrans Lab wiki,EtransLab,License,Google
Etrans Lab WordPress with Redis,EtransLab,License,Google
Etrans Lab File Manager,EtransLab,License,Google
Etrans Lab LNMP Stack With Webmin,EtransLab,License,Google
Etrans Lab V2Ray VPN,EtransLab,License,Google
Etrans Lab Airtable,EtransLab,License,Google
Etrans Lab Eyeblue Cloud Storage,EtransLab,License,Google
Etrans Lab crater,EtransLab,License,Google
Etrans Lab WordPress,EtransLab,License,Google
Etrans Lab Shadowsocks VPN,EtransLab,License,Google
Etrans Lab Remote Desktop with Multi-user,EtransLab,License,Google
Etrans Lab LAMP Stack With Webmin,EtransLab,License,Google
Etrans Lab WooCommerce,EtransLab,License,Google
Frontline CentOS 7,Frontline,License,Google
Frontline Hardened CentOS 8,Frontline,License,Google
Frontline Hardened Red Hat 8,Frontline,License,Google
Frontline Hardened Red Hat 7,Frontline,License,Google
Frontline Hardened Ubuntu 16,Frontline,License,Google
Frontline Debian 9,Frontline,License,Google
Frontline Debian 10,Frontline,License,Google
Frontline Red Hat 7,Frontline,License,Google
Frontline Ubuntu 18,Frontline,License,Google
Frontline Hardened Ubuntu 20,Frontline,License,Google
Frontline Ubuntu 20,Frontline,License,Google
Frontline Hardened CentOS 7,Frontline,License,Google
Frontline Hardened Debian 9,Frontline,License,Google
Frontline CentOS 8,Frontline,License,Google
Frontline Hardened Debian 10,Frontline,License,Google
Frontline Ubuntu 16,Frontline,License,Google
Frontline Red Hat 8,Frontline,License,Google
Frontline Hardened Ubuntu 18,Frontline,License,Google
Grakn Labs Grakn KGMS,GraknLabs,License,Google
Kaspersky Hybrid Cloud Security (BYOL),Kaspersky,License,Google
Kx Systems kdb+ 4.0,KxSystems,License,Google
"Kx Systems KX Insights, kdb+ Cloud Edition",KxSystems,License,Google
Kx Systems kdb+,KxSystems,License,Google
Matillion ETL for BigQuery - Extra Large,Matillion,License,Google
Matillion ETL for Snowflake,Matillion,License,Google
Matillion ETL for BigQuery - Medium,Matillion,License,Google
Matillion ETL for BigQuery - Large,Matillion,License,Google
Smallstep ACME Registration Authority for GCP CAS,Smallstep,License,Google
Striim Inc. Real-Time Data Integration to SnowFlake,StriimInc,License,Google
Striim Inc. Real-Time Integration to Cloud Spanner,StriimInc,License,Google
Striim Inc. Real-Time Integration to Cloud SQL for MySQL,StriimInc,License,Google
Striim Inc. Real-Time Data Integration to BigQuery,StriimInc,License,Google
Striim Inc. Real-Time Integration to Cloud SQL for PostgreSQL,StriimInc,License,Google
Striim Inc. Striim for Google Database Migration,StriimInc,License,Google
Striim Inc. SMSGC,StriimInc,License,Google
Striim Inc. STRIIM  (metered),StriimInc,License,Google
Striim Inc. STRIIM ( metered ),StriimInc,License,Google
Striim Inc. Real-Time Data Integration to Google Cloud Storage,StriimInc,License,Google
Striim Inc. SMSGC (BiDirectional),StriimInc,License,Google
Striim Inc. STRIIM,StriimInc,License,Google
"Sylabs, Inc SingularityPRO-25",SylabsInc,License,Google
"Sylabs, Inc Singularity-community-31",SylabsInc,License,Google
Tecknolab DBcloudbin for SQLServer Pay-As-You-Go,Tecknolab,License,Google
Tecknolab DBcloudbin for Oracle Pay-As-You-Go,Tecknolab,License,Google
Tecknolab DBcloudbin for SQLServer bring-your-own-license (BYOL),Tecknolab,License,Google
Tecknolab DBcloudbin for Oracle bring-your-own-license (BYOL),Tecknolab,License,Google
Trillo Inc. File Manager and SFTP for Cloud Storage,TrilloInc,License,Google
VMware Inc. vmware-sdwan,VMwareInc,License,Google
"WitFoo, Inc. witfoo-precinct",WitFooInc,License,Google
"WitFoo, Inc. witfoo-precinct-byol",WitFooInc,License,Google
Zabbix SIA Zabbix Proxy 5.0 - Appliance with SQLite3,ZabbixSIA,License,Google
Zabbix SIA Zabbix 4.4 - Medium performance,ZabbixSIA,License,Google
Zabbix SIA Zabbix Server 5.0 Appliance,ZabbixSIA,License,Google
"cPanel, L.L.C. cPanel & WHM on Linux",cPanelLLC,License,Google
AELF PTE. LTD aelf Blockchain for Enterprise,AELFPTELTD,License,Google
Abzooba Inc. xpresso-ai,AbzoobaInc,License,Google
Arrikto MiniKF,ArriktoInc,License,Google
Batch on GKE HTCondor on GCP,BatchonGKE,License,Google
CARTODB Inc. CARTO Enterprise (BYOL),CARTODBInc,License,Google
CARTODB Inc. CARTO Enterprise,CARTODBInc,License,Google
CARTODB Inc. carto-enterprise-payg,CARTODBInc,License,Google
CloudSight Whole Scene Understanding / Captioning,CloudSight,License,Google
DDN Storage EXAScaler Cloud,DDNStorage,License,Google
DDN Storage Cloud Edition for Lustre,DDNStorage,License,Google
"F5 Networks F5 Advanced WAF  (PAYG, 200Mbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - BEST  (PAYG, 200Mbps)",F5Networks,License,Google
"F5 Networks F5 Per-App VE  BIG-IP LTM  (PAYG, 200Mbps)",F5Networks,License,Google
"F5 Networks F5 Per-App-VE Advanced WAF with LTM, IPI, TC (PAYG,25Mbps)",F5Networks,License,Google
"F5 Networks F5 Per-App VE  Advanced WAF  (PAYG, 25Mbps)",F5Networks,License,Google
"F5 Networks F5 Adv WAF with LTM, IPI, Threat Campaigns (PAYG, 200Mbps)",F5Networks,License,Google
"F5 Networks F5 Per-App VE  BIG-IP LTM  (PAYG, 25Mbps)",F5Networks,License,Google
"F5 Networks F5 Advanced WAF  (PAYG, 25Mbps)",F5Networks,License,Google
"F5 Networks F5 Advanced WAF (PAYG, 16vCPU)",F5Networks,License,Google
"F5, Inc f5-big-best-plus-payg-10gbps",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - BETTER  (PAYG, 10Gbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - GOOD  (PAYG, 1Gbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - BETTER  (PAYG, 200Mbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - BETTER  (PAYG, 25Mbps)",F5Networks,License,Google
"F5, Inc f5-big-best-plus-payg-25mbps",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - BEST  (PAYG, 5Gbps)",F5Networks,License,Google
"F5, Inc f5-big-best-plus-payg-5gbps",F5Networks,License,Google
"F5 Networks F5 Per-App VE  Advanced WAF  (PAYG, 200Mbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - GOOD  (PAYG, 10Gbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - Good (PAYG, 16vCPU)",F5Networks,License,Google
"F5 Networks F5 Per-App VE - Advanced WAF + LTM (PAYG, 25M)",F5Networks,License,Google
"F5 Networks F5 BIG-IP VE  LTM/DNS   (BYOL, 2 Boot Locations)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - GOOD  (PAYG, 200Mbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - BEST  (PAYG, 25Mbps)",F5Networks,License,Google
"F5 Networks F5 Adv WAF with LTM, IPI, Threat Campaigns (PAYG, 3Gbps)",F5Networks,License,Google
"F5 Networks F5 Advanced WAF (PAYG, 8vCPU)",F5Networks,License,Google
"F5, Inc f5-big-best-plus-payg-1gbps",F5Networks,License,Google
"F5, Inc f5-big-best-plus-payg-200mbps",F5Networks,License,Google
"F5 Networks F5 Advanced WAF  (PAYG, 1Gbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - BETTER  (PAYG, 1Gbps)",F5Networks,License,Google
"F5 Networks F5 Adv WAF with LTM, IPI, Threat Campaigns (PAYG, 25Mbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - GOOD  (PAYG, 25Mbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP VE  ALL   (BYOL, 1 Boot Location)",F5Networks,License,Google
"F5, Inc f5-big-awf-plus-payg-16vcpu",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - GOOD  (PAYG, 5Gbps)",F5Networks,License,Google
"F5 Networks F5 Per-App VE - Advanced WAF + LTM (PAYG, 200M)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - BEST  (PAYG, 1Gbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - BETTER  (PAYG, 5Gbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP Virtual Edition - BEST  (PAYG, 10Gbps)",F5Networks,License,Google
"F5 Networks F5 BIG-IP VE  LTM/DNS   (BYOL, 1 Boot Location)",F5Networks,License,Google
"F5 Networks F5 Per-App-VE Advanced WAF with LTM, IPI, TC (PAYG, 200Mbps)",F5Networks,License,Google
FASTDATA.IO PlasmaENGINE,FASTDATAIO,License,Google
FastNetMon LTD FastNetMon Advanced,FastNetMon,License,Google
Genymotion Cloud: Android 6.0 (marshmallow),Genymobile,License,Google
Genymotion Cloud: Android 8.0 (oreo),Genymobile,License,Google
Genymotion Cloud: Android 5.1 (lollipop),Genymobile,License,Google
Genymotion Cloud: Android 7.0 (nougat),Genymobile,License,Google
Genymotion Cloud: Android 8.1 (oreo),Genymotion,License,Google
Genymotion Cloud: Android 9.0 (pie),Genymotion,License,Google
Genymotion genymotion-11-0,Genymotion,License,Google
Genymotion Cloud: Android 10.0 (Q),Genymotion,License,Google
Guardicore Infection Monkey,GuardiCore,License,Google
"HyTrust, Inc. HyTrust KeyControl",HyTrustInc,License,Google
"InfluxData, the creators of InfluxDB InfluxDB Enterprise",InfluxData,License,Google
Liquidware Stratusphere UX (6.1.5),Liquidware,License,Google
Liquidware Stratusphere UX Collector (6.1.5),Liquidware,License,Google
Liquidware Stratusphere UX Database (6.1.5),Liquidware,License,Google
NodeSource N|Solid,NodeSource,License,Google
"OmniSci, Inc. OmniSci Enterprise Edition (BYOL)",OmniSciInc,License,Google
"OmniSci, Inc. Omnisci Enterprise Edition for CPU (BYOL)",OmniSciInc,License,Google
"OmniSci, Inc. OmniSci Open Source Edition",OmniSciInc,License,Google
"OmniSci, Inc. OmniSciDB for CPU (Open Source)",OmniSciInc,License,Google
OpenVPN Inc. OpenVPN Access Server,OpenVPNInc,License,Google
Panzura Inc. Panzura CloudFS 8.0.0.10,PanzuraInc,License,Google
Panzura Inc. Panzura Freedom Filer CloudFS 8.0.2.0,PanzuraInc,License,Google
Panzura Inc. Panzura Freedom Filer,PanzuraInc,License,Google
Panzura Inc. Panzura Freedom NAS - GCE,PanzuraInc,License,Google
Parabricks,Parabricks,License,Google
Pixit Media PixStor Cloud Solo - 5 TB,PixitMedia,License,Google
Pixit Media PixStor Cloud - Performance Tier,PixitMedia,License,Google
Pixit Media PixStor Cloud - Balanced Tier,PixitMedia,License,Google
Pixit Media PixStor Cloud Solo - 20 TB,PixitMedia,License,Google
Pixit Media PixStor Cloud Solo - 2.5 TB,PixitMedia,License,Google
Pixit Media PixStor Cloud Solo - 10 TB,PixitMedia,License,Google
Pixit Media PixStor Cloud Solo - 50 TB,PixitMedia,License,Google
Pixit Media PixStor Cloud Solo - 100 TB,PixitMedia,License,Google
Pixit Media PixStor Cloud Solo - 75 TB,PixitMedia,License,Google
Pixit Media PixStor Cloud - Capacity Tier,PixitMedia,License,Google
Quobyte Inc. Quobyte Data Center File System,QuobyteInc,License,Google
R-Brain Inc Enterprise Data Science Platform (DSP S),R-BrainInc,License,Google
R-Brain Inc Enterprise Data Science Platform with Marketplace (DSP SM),R-BrainInc,License,Google
"RStudio, PBC RStudio Connect Standard - 100 Users",RStudioInc,License,Google
"RStudio, PBC RStudio Connect Base - 20 Users",RStudioInc,License,Google
"RStudio, PBC RStudio Server Pro Standard for GCP",RStudioInc,License,Google
"RStudio, PBC RStudio Connect Enterprise - 1000 Users",RStudioInc,License,Google
Sentrium S.L. VyOS,SentriumSL,License,Google
Skaffolder Enterprise,Skaffolder,License,Google
StorReduce,StorReduce,License,Google
velospublic velostrata,Velostrata,License,Google
Diyotta Data Integration - BYOL,”Diyotta,License,Google
Cognosys Inc. Wordpress With CentOS 8 Stream,CognosysInc,License,Google
Cognosys Inc. Visual Studio Professional 2019 on Windows Server 2016,CognosysInc,License,Google
Cognosys Inc. CrushFTP on Windows 2012 R2,CognosysInc,License,Google
Cognosys Inc. MySQL 8.0 With RedHat 7,CognosysInc,License,Google
Cognosys Inc. PostgreSQL with Ubuntu 20.04 LTS,CognosysInc,License,Google
Cognosys Inc. Haproxy on Ubuntu 20.04 LTS,CognosysInc,License,Google
Cognosys Inc. Gitlab Community Edition With Ubuntu 18.04 LTS,CognosysInc,License,Google
Cognosys Inc. SQL Server 2019 Web on Windows Server 2019,CognosysInc,License,Google
Cognosys Inc. Lamp With RedHat 7,CognosysInc,License,Google
Cognosys Inc. NGINX With CentOS 8.3,CognosysInc,License,Google
Cognosys Inc. CentOS 7.8,CognosysInc,License,Google
Cognosys Inc. Apache Web Server with CentOS 8.3,CognosysInc,License,Google
Cognosys Inc. Wordpress With CentOS 8.3,CognosysInc,License,Google
Cognosys Inc. Mediawiki With CentOS 8 Stream,CognosysInc,License,Google
Cognosys Inc. LMS powered by Moodle With CentOS 8 Stream,CognosysInc,License,Google
Cognosys Inc. Lamp With CentOS 8.3,CognosysInc,License,Google
Cognosys Inc. CrushFTP on Windows 2016,CognosysInc,License,Google
Cognosys Inc. MariaDB 10 With CentOS 8 Stream,CognosysInc,License,Google
Cognosys Inc. Docker Community Edition With Centos 7.8,CognosysInc,License,Google
Cognosys Inc. SQL Server Standard 2019 on Linux - Ubuntu 20.04,CognosysInc,License,Google
Cognosys Inc. MariaDB 10 With CentOS 8.3,CognosysInc,License,Google
Cognosys Inc. Docker Community Edition With Centos 8.2,CognosysInc,License,Google
Cognosys Inc. SQL Server 2019 Standard on Windows Server 2019,CognosysInc,License,Google
Cognosys Inc. Joomla With Ubuntu Server 20.04 LTS,CognosysInc,License,Google
Cognosys Inc. Apache Web Server with RedHat 8,CognosysInc,License,Google
Cognosys Inc. PostgreSQL with CentOS 8.3,CognosysInc,License,Google
Cognosys Inc. CentOS 8.3,CognosysInc,License,Google
Cognosys Inc. Wordpress With Ubuntu Server 20.04 LTS,CognosysInc,License,Google
Cognosys Inc. Gitlab Community Edition With Ubuntu 20.04 LTS,CognosysInc,License,Google
Cognosys Inc. Apache Web Server with CentOS 8.2,CognosysInc,License,Google
Cognosys Inc. Apache Web Server with Ubuntu 20.04 LTS,CognosysInc,License,Google
Cognosys Inc. MySQL 8.0 With CentOS 8.3,CognosysInc,License,Google
Cognosys Inc. Lamp With CentOS 7.7,CognosysInc,License,Google
Cognosys Inc. Mediawiki With Ubuntu Server 20.04 LTS,CognosysInc,License,Google
Cognosys Inc. Apache Web Server with Ubuntu 18-04 LTS,CognosysInc,License,Google
Cognosys Inc. MariaDB 10 With RedHat 7,CognosysInc,License,Google
Cognosys Inc. Drupal With Ubuntu Server 20.04 LTS,CognosysInc,License,Google
Cognosys Inc. AlmaLinux  8,CognosysInc,License,Google
Cognosys Inc. Lamp With RedHat 8,CognosysInc,License,Google
Cognosys Inc. Internet Information Server with Windows 2019,CognosysInc,License,Google
Cognosys Inc. Apache Web Server with CentOS 8 Stream,CognosysInc,License,Google
Cognosys Inc. Jenkins With CentOS 8-stream,CognosysInc,License,Google
Cognosys Inc. Lamp With Ubuntu Server 20.04 LTS,CognosysInc,License,Google
Cognosys Inc. Internet Information Server with Windows 2016,CognosysInc,License,Google
Cognosys Inc. CentOS 8.2,CognosysInc,License,Google
Cognosys Inc. Apache Web Server with RedHat 7,CognosysInc,License,Google
Cognosys Inc. Nginx With Ubuntu Server 20.04 Lts,CognosysInc,License,Google
Cognosys Inc. Nginx With Ubuntu Server 18-04 Lts,CognosysInc,License,Google
Cognosys Inc. SQL Server Enterprise 2019 on Linux - Ubuntu 20.04,CognosysInc,License,Google
Cognosys Inc. NGINX With CentOS 7-7,CognosysInc,License,Google
Cognosys Inc. SQL Server 2019 Enterprise on Windows Server 2019,CognosysInc,License,Google
Cognosys Inc. Visual Studio Community 2019 on Windows Server 2016,CognosysInc,License,Google
Cognosys Inc. Lamp With Ubuntu Server 18.04 Lts,CognosysInc,License,Google
Cognosys Inc. SQL Server Web 2019 on Linux - Ubuntu 20.04,CognosysInc,License,Google
Cognosys Inc. Docker CE With Centos 8.3,CognosysInc,License,Google
Cognosys Inc. Mediawiki With CentOS 8.3,CognosysInc,License,Google
Cognosys Inc. Docker Community Edition With RedHat 8,CognosysInc,License,Google
Cognosys Inc. MySQL 5.7 With RedHat 7,CognosysInc,License,Google
Cognosys Inc. NGINX With CentOS 8 Stream,CognosysInc,License,Google
Cognosys Inc. Apache Web Server with CentOS 7.8,CognosysInc,License,Google
Cognosys Inc. Docker CE With Centos 8 Stream,CognosysInc,License,Google
"DataSunrise Inc DataSunrise Database Security, Data Masking and Compliance",DataSunrise,License,Google
Delphix Corp Delphix Data Virtualization for Google Cloud (3TB),DelphixCorp,License,Google
Delphix Corp Delphix Data Masking for Google Cloud (3TB),DelphixCorp,License,Google
Filemage LLC FileMage SFTP/FTP Gateway,FilemageLLC,License,Google
Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 100Mbps,FortinetInc,License,Google
Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 5Gbps,FortinetInc,License,Google
Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 10Gbps,FortinetInc,License,Google
Fortinet Inc. Fortinet FortiWeb Web Application Firewall WAF VM,FortinetInc,License,Google
Fortinet Inc. FortiAnalyzer Centralized Logging/Reporting,FortinetInc,License,Google
Fortinet Inc. FortiGate Next-Generation Firewall (BYOL),FortinetInc,License,Google
Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 500Mbps,FortinetInc,License,Google
Fortinet Inc. FortiManager Centralized Security Management,FortinetInc,License,Google
Fortinet Inc. Fortinet FortiADC-VM Application Delivery Controller BYOL,FortinetInc,License,Google
Fortinet Inc. Fortinet FortiADC Application Delivery Controller PAYG 1Gbps,FortinetInc,License,Google
Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),FortinetInc,License,Google
Hammerspace,Hammerspace,License,Google
IBM Security QRadar Security Intelligence Platform Managed Host v7.3.2 P1,IBMSecurity,License,Google
IBM Security QRadar Security Intelligence Platform Console v7.3.2 P1,IBMSecurity,License,Google
IBM Security QRadar Security Intelligence Platform App Host v7.3.2 P1,IBMSecurity,License,Google
Informatica Enterprise Data Catalog 10.4.1,Informatica,License,Google
Informatica Intelligent Cloud Services Secure Agent,Informatica,License,Google
