product,service_type,service_category,cloud_provider
Anthos Config Management,Kubernetes,Compute,Google
VM Manager,Management,Compute,Google
Compute Engine,N1Standard,Compute,Google
Cloud Services G Series,Cloud Services,Compute,Azure
Cloud Services LS Series,Cloud Services,Compute,Azure
Cloud Services Dv2 Series,Cloud Services,Compute,Azure
Cloud Services H Series,Cloud Services,Compute,Azure
Cloud Services Dv3 Series,Cloud Services,Compute,Azure
Cloud Services D Series,Cloud Services,Compute,Azure
Cloud Services Av2 Series,Cloud Services,Compute,Azure
Cloud Services LSv2 Series,Cloud Services,Compute,Azure
Cloud Services Server,Cloud Services,Compute,Azure
Cloud Services Ev3 Series,Cloud Services,Compute,Azure
Cloud Services A Series,Cloud Services,Compute,Azure
Cloud Services FSv2 Series,Cloud Services,Compute,Azure
Service Fabric Cluster,Service Fabric,Compute,Azure
Zync,Zync_8_64_4p100,Compute,Google
"Google Distributed Cloud Edge, Private Zone",DistributedCloud,Compute,Google
Cloud Dataflow,StreamingService,Compute,Google
Virtual Machines Edsv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Ebdsv5 Series,Virtual Machines,Compute,Azure
Virtual Machines Easv4 Series,Virtual Machines,Compute,Azure
Virtual Machines Dasv4 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines NC Series,Virtual Machines,Compute,Azure
Virtual Machines Dv2 promo Series,Virtual Machines,Compute,Azure
Virtual Machines NVSv3 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines MdSv2 Series Windows,Virtual Machines,Compute,Azure
Ddsv5 Series DedicatedHost,Virtual Machines,Compute,Azure
Virtual Machines Eav4 Series,Virtual Machines,Compute,Azure
Virtual Machines Easv5 Series Windows,Virtual Machines,Compute,Azure
DCasv5-series Linux,Virtual Machines,Compute,Azure
Easv4 Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines H Series Windows,Virtual Machines,Compute,Azure
Virtual Machines NVadsA10v5 Series,Virtual Machines,Compute,Azure
DCsv3 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines NCadsA10v4 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines NVasv4 VDI Series Windows,Virtual Machines,Compute,Azure
Virtual Machines MS Series,Virtual Machines,Compute,Azure
Virtual Machines Dadsv5 Series,Virtual Machines,Compute,Azure
Virtual Machines NV Series,Virtual Machines,Compute,Azure
LSv2 Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines NVSv2 Series,Virtual Machines,Compute,Azure
Virtual Machines Esv5 Series,Virtual Machines,Compute,Azure
Virtual Machines NCasT4 v3 Series Windows,Virtual Machines,Compute,Azure
DSv4 Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines D Series,Virtual Machines,Compute,Azure
Virtual Machines Dasv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines HBSv2 Series,Virtual Machines,Compute,Azure
Virtual Machines Ebsv5 Series,Virtual Machines,Compute,Azure
Virtual Machines HBS Series,Virtual Machines,Compute,Azure
Virtual Machines HBSv2 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines FS Series,Virtual Machines,Compute,Azure
Virtual Machines Edv5 Series,Virtual Machines,Compute,Azure
NCads A100 v4 Series Windows,Virtual Machines,Compute,Azure
FSv2 Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines NDS Series Windows,Virtual Machines,Compute,Azure
Virtual Machines NDS Series,Virtual Machines,Compute,Azure
Virtual Machines NDasr A100 v4 Series,Virtual Machines,Compute,Azure
Virtual Machines DCS Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Esv4 Series,Virtual Machines,Compute,Azure
Virtual Machines A Series Basic,Virtual Machines,Compute,Azure
Virtual Machines F Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Edsv5 Series,Virtual Machines,Compute,Azure
Virtual Machines GS Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dpsv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines DS Series Windows,Virtual Machines,Compute,Azure
Virtual Machines MS Series Windows,Virtual Machines,Compute,Azure
DCsv3 Series Linux,Virtual Machines,Compute,Azure
Dedicated Host Reservation,Virtual Machines,Compute,Azure
Virtual Machines DSv3 Series,Virtual Machines,Compute,Azure
Virtual Machines HBS Series Windows,Virtual Machines,Compute,Azure
Virtual Machines NVasv4 Series,Virtual Machines,Compute,Azure
Virtual Machines Ev3 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Edv4 Series,Virtual Machines,Compute,Azure
Lasv3 Series Linux,Virtual Machines,Compute,Azure
Virtual Machines NCadsA10v4 Series,Virtual Machines,Compute,Azure
